Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,Player Nickname
1987,24,82,40.4,13.0,24.4,0.535,0.1,0.6,0.132,13.0,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,31.7,0.603,7.8,0.27,3.9,0.024,0.096,0.341,21.2,9.8,2.3,12.2,11.8,31.86000000000001,1,0,1,0.831,1,1,Air Jordan
1988,25,81,40.2,11.9,22.2,0.5379999999999999,0.3,1.2,0.276,11.6,21.0,0.5529999999999999,0.546,8.3,9.8,0.85,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,31.1,0.614,11.6,0.34700000000000003,3.6,0.012,0.11900000000000001,0.321,19.8,9.8,2.7,12.6,12.0,32.40000000000001,1,0,2,0.7040000000000001,1,1,Air Jordan
1989,26,82,39.0,12.6,24.0,0.526,1.1,3.0,0.376,11.5,21.0,0.5479999999999999,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,31.2,0.606,10.4,0.28600000000000003,3.5,0.011000000000000001,0.098,0.337,19.0,9.7,0.8,10.6,10.1,27.27,1,0,3,0.613,1,1,Air Jordan
1990,27,82,37.0,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7.0,8.2,0.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,31.6,0.605,9.5,0.252,3.7,0.017,0.087,0.32899999999999996,20.3,8.9,1.8,10.8,9.8,26.460000000000004,1,1,1,0.928,1,1,Air Jordan
1991,28,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.5329999999999999,0.526,6.1,7.4,0.8320000000000001,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,27.7,0.579,9.5,0.257,3.0,0.015,0.08800000000000001,0.317,17.7,6.9,1.7,8.6,8.3,22.410000000000004,1,1,1,0.938,1,1,Air Jordan
1992,29,78,39.3,12.7,25.7,0.495,1.0,2.9,0.35200000000000004,11.7,22.7,0.514,0.515,6.1,7.3,0.8370000000000001,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,29.7,0.564,9.8,0.252,3.7,0.013000000000000001,0.084,0.34700000000000003,17.2,8.3,1.2,9.5,8.9,24.03,1,0,3,0.5770000000000001,1,1,Air Jordan
1995,32,82,37.7,11.2,22.6,0.495,1.4,3.2,0.4270000000000001,9.8,19.4,0.506,0.525,6.7,8.0,0.8340000000000001,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,29.4,0.5820000000000001,10.2,0.212,3.1,0.01,0.084,0.33299999999999996,20.4,7.2,1.4,8.6,8.3,22.410000000000004,1,1,1,0.986,1,1,Air Jordan
1996,33,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7.0,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,27.8,0.5670000000000001,8.8,0.212,2.4,0.011000000000000001,0.07200000000000001,0.332,18.3,6.5,0.2,6.7,6.8,18.36,1,0,2,0.8320000000000001,1,1,Air Jordan
1997,34,82,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,25.2,0.5329999999999999,8.5,0.18,2.4,0.01,0.077,0.337,15.8,4.6,0.0,4.6,5.3,14.31,1,1,1,0.934,1,1,Air Jordan
2001,38,60,34.9,9.2,22.1,0.416,0.2,0.9,0.189,9.0,21.2,0.426,0.42,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,20.7,0.468,9.4,0.308,2.2,0.009000000000000001,0.099,0.36,3.3,2.3,0.1,2.4,2.4,6.48,1,0,13,0.013,0,0,Air Jordan
2002,39,82,37.0,8.3,18.6,0.445,0.2,0.7,0.29100000000000004,8.1,18.0,0.45,0.45,3.2,4.0,0.821,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20.0,19.3,0.491,9.7,0.21100000000000002,2.2,0.01,0.094,0.287,6.2,0.9,0.1,1.0,2.3,6.21,1,0,0,0.0,0,0,Air Jordan
1984,22,82,35.5,8.3,15.3,0.5379999999999999,0.0,0.0,0.0,8.3,15.3,0.5379999999999999,0.5379999999999999,4.1,6.7,0.613,5.4,6.5,11.9,1.4,1.2,2.7,2.9,4.2,20.6,21.1,0.564,18.7,0.053,1.6,0.043,0.135,0.235,10.2,2.0,1.4,3.4,4.0,10.8,1,0,12,0.015,1,0,Dream
1985,23,68,36.3,9.2,17.5,0.526,0.0,0.0,0.0,9.2,17.5,0.526,0.526,5.1,7.9,0.645,4.9,6.6,11.5,2.0,2.0,3.4,2.9,4.0,23.5,24.2,0.56,17.1,0.08,2.5,0.052000000000000005,0.12,0.256,9.5,2.8,2.5,5.3,4.6,12.42,1,0,4,0.247,1,0,Dream
1986,24,75,36.8,9.0,17.8,0.508,0.0,0.1,0.2,9.0,17.7,0.509,0.509,5.3,7.6,0.7020000000000001,4.2,7.2,11.4,2.9,1.9,3.4,3.0,3.9,23.4,23.8,0.5539999999999999,17.1,0.126,2.4,0.053,0.126,0.268,10.9,2.5,4.0,6.6,6.0,16.200000000000006,1,0,7,0.036000000000000004,1,0,Dream
1987,25,79,35.8,9.0,17.5,0.514,0.0,0.1,0.0,9.0,17.5,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,23.4,0.555,17.7,0.092,2.7,0.042,0.13,0.265,10.7,1.7,3.3,5.0,5.0,13.5,1,0,7,0.05,1,0,Dream
1988,26,82,36.9,9.6,19.0,0.508,0.0,0.1,0.0,9.6,18.9,0.511,0.508,5.5,8.0,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,25.2,0.552,19.8,0.08199999999999999,3.3,0.055,0.13,0.282,12.4,1.3,4.1,5.4,5.6,15.12,1,0,5,0.211,1,0,Dream
1989,27,82,38.1,9.8,19.6,0.501,0.0,0.1,0.16699999999999998,9.8,19.5,0.502,0.501,4.7,6.5,0.713,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3,24.1,0.541,19.5,0.121,2.6,0.07,0.146,0.281,11.2,0.1,5.8,5.9,6.3,17.01,1,0,7,0.07,1,0,Dream
1990,28,56,36.8,8.7,17.1,0.508,0.0,0.1,0.0,8.7,17.1,0.51,0.508,3.8,4.9,0.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2,24.3,0.5489999999999999,19.9,0.102,2.9,0.064,0.139,0.25,8.6,0.4,5.9,6.3,4.3,11.61,0,0,18,0.004,1,0,Dream
1991,29,70,37.7,8.4,16.8,0.502,0.0,0.0,0.0,8.4,16.8,0.503,0.502,4.7,6.1,0.7659999999999999,3.5,8.6,12.1,2.2,1.8,4.3,2.7,3.8,21.6,23.7,0.5529999999999999,17.8,0.099,2.4,0.068,0.12,0.256,9.8,0.7,4.3,5.0,4.7,12.69,1,0,0,0.0,0,0,Dream
