Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,Player Nickname
1997,25,60,36.3,11.2,19.1,0.584,0.0,0.0,0.0,11.2,19.1,0.584,0.584,6.0,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3,28.8,0.5870000000000001,17.7,0.135,0.9,0.046,0.10800000000000001,0.32899999999999996,10.2,3.8,0.8,4.6,3.6,9.72,1,0,4,0.268,1,0,Shaq
1998,26,49,34.8,10.4,18.1,0.5760000000000001,0.0,0.0,0.0,10.4,18.0,0.5770000000000001,0.5760000000000001,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,30.6,0.584,18.0,0.14400000000000002,1.1,0.035,0.1,0.324,9.0,6.2,0.1,6.3,3.6,9.72,0,0,6,0.075,1,0,Shaq
1999,27,79,40.0,12.1,21.1,0.574,0.0,0.0,0.0,12.1,21.1,0.575,0.574,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,30.6,0.578,18.3,0.193,0.6,0.053,0.099,0.312,18.6,6.2,3.5,9.7,9.3,25.11000000000001,1,1,1,0.998,1,1,Shaq
2000,28,74,39.5,11.0,19.2,0.5720000000000001,0.0,0.0,0.0,11.0,19.2,0.573,0.5720000000000001,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,30.2,0.574,18.1,0.188,0.8,0.049,0.105,0.316,14.9,5.7,1.6,7.3,6.8,18.36,1,0,3,0.466,1,1,Shaq
2001,29,67,36.1,10.6,18.3,0.579,0.0,0.0,0.0,10.6,18.3,0.58,0.579,5.9,10.7,0.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,29.7,0.59,16.3,0.16399999999999998,0.9,0.040999999999999995,0.1,0.318,13.2,5.5,1.5,7.0,5.5,14.85,1,0,3,0.552,1,1,Shaq
2002,30,67,37.8,10.4,18.1,0.574,0.0,0.0,0.0,10.4,18.1,0.574,0.574,6.7,10.8,0.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5,29.5,0.602,16.5,0.162,0.8,0.045,0.114,0.302,13.2,5.5,0.8,6.3,5.3,14.31,1,0,5,0.106,1,0,Shaq
2003,31,67,36.8,8.3,14.1,0.584,0.0,0.0,0.0,8.3,14.1,0.584,0.584,4.9,10.1,0.49,3.7,7.8,11.5,2.9,0.5,2.5,2.9,3.4,21.5,24.4,0.578,17.7,0.14800000000000002,0.7,0.05,0.135,0.263,9.9,2.8,2.6,5.4,4.6,12.42,1,0,6,0.145,1,0,Shaq
2004,32,73,34.1,9.0,15.0,0.601,0.0,0.0,0.0,9.0,15.0,0.601,0.601,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9,27.0,0.583,17.8,0.157,0.8,0.05,0.124,0.305,11.0,3.3,2.3,5.6,4.7,12.69,1,0,2,0.813,1,0,Shaq
2005,33,59,30.6,8.1,13.6,0.6,0.0,0.0,0.0,8.1,13.6,0.6,0.6,3.7,8.0,0.469,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20.0,24.4,0.586,17.6,0.124,0.7,0.044000000000000004,0.14300000000000002,0.3,6.2,1.4,1.2,2.6,2.1,5.670000000000001,1,0,0,0.0,1,1,Shaq
2007,35,61,28.7,5.4,9.1,0.593,0.0,0.0,0.0,5.4,9.1,0.593,0.593,2.8,5.5,0.503,2.7,6.4,9.1,1.5,0.5,1.4,3.0,3.7,13.6,17.1,0.589,18.4,0.091,0.9,0.037000000000000005,0.204,0.235,2.8,-2.0,1.3,-0.7,0.6,1.62,0,0,0,0.0,1,0,Shaq
2008,36,75,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8,22.3,0.623,16.4,0.08900000000000001,1.1,0.035,0.136,0.242,7.8,1.7,0.3,2.0,2.3,6.21,1,0,0,0.0,0,0,Shaq
2009,37,53,23.4,4.9,8.7,0.5660000000000001,0.0,0.0,0.0,4.9,8.7,0.5670000000000001,0.5660000000000001,2.1,4.3,0.496,1.8,4.9,6.7,1.5,0.3,1.2,2.0,3.2,12.0,17.9,0.565,17.0,0.113,0.6,0.039,0.157,0.251,3.1,-1.9,1.4,-0.5,0.5,1.35,0,0,0,0.0,1,0,Shaq
1996,21,76,40.1,8.2,19.8,0.41600000000000004,2.0,6.0,0.341,6.2,13.8,0.44799999999999995,0.467,5.0,7.2,0.7020000000000001,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,18.0,0.513,5.6,0.336,2.6,0.006,0.162,0.289,4.1,3.4,-2.0,1.5,2.7,7.290000000000001,0,0,17,0.001,0,0,The Answer
1997,22,80,39.4,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.7290000000000001,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22.0,20.4,0.535,5.4,0.306,3.0,0.006,0.129,0.26899999999999996,9.0,4.5,-0.7,3.8,4.6,12.42,0,0,0,0.0,0,0,The Answer
1998,23,48,41.5,9.1,22.0,0.41200000000000003,1.2,4.1,0.29100000000000004,7.9,17.9,0.44,0.439,7.4,9.9,0.7509999999999999,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,22.2,0.508,6.9,0.242,3.0,0.003,0.11699999999999999,0.326,7.2,4.9,-0.3,4.6,3.3,8.91,0,0,4,0.27,0,0,The Answer
1999,24,70,40.8,10.4,24.8,0.42100000000000004,1.3,3.7,0.341,9.1,21.0,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,20.0,0.496,5.2,0.23,2.6,0.001,0.10300000000000001,0.344,6.9,3.4,-0.8,2.6,3.3,8.91,1,0,7,0.109,0,0,The Answer
2000,25,71,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.8140000000000001,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,24.0,0.518,5.2,0.23,3.2,0.005,0.1,0.359,11.8,5.0,-0.1,4.8,5.1,13.77,1,1,1,0.904,1,0,The Answer
2001,26,60,43.7,11.1,27.8,0.39799999999999996,1.3,4.5,0.29100000000000004,9.8,23.4,0.419,0.42200000000000004,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,21.9,0.489,5.8,0.276,3.5,0.004,0.11,0.37799999999999995,6.9,3.7,0.2,3.8,3.9,10.53,1,0,9,0.023,1,0,The Answer
2002,27,82,42.5,9.8,23.7,0.414,1.0,3.7,0.27699999999999997,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,21.2,0.5,5.8,0.251,3.4,0.003,0.11199999999999999,0.32899999999999996,9.2,3.1,-0.3,2.8,4.2,11.340000000000002,1,0,6,0.07,1,0,The Answer
2003,28,48,42.5,9.1,23.4,0.387,1.2,4.1,0.28600000000000003,7.9,19.3,0.408,0.41200000000000003,7.1,9.5,0.745,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,26.4,19.3,0.478,5.1,0.344,3.1,0.002,0.136,0.353,2.8,3.1,-0.6,2.5,2.3,6.21,1,0,0,0.0,0,0,The Answer
2004,29,75,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.45299999999999996,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,23.2,0.532,5.3,0.376,2.9,0.002,0.13699999999999998,0.35,9.0,4.8,-0.5,4.3,5.0,13.5,1,0,5,0.18899999999999997,1,0,The Answer
2005,30,72,43.1,11.3,25.3,0.447,1.0,3.1,0.32299999999999995,10.3,22.2,0.465,0.467,9.4,11.5,0.8140000000000001,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,25.9,0.5429999999999999,4.4,0.349,2.3,0.002,0.102,0.358,10.6,6.0,-2.5,3.5,4.3,11.61,1,0,10,0.001,0,0,The Answer
2006,31,65,42.5,8.9,20.2,0.442,1.0,3.0,0.315,8.0,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3,19.6,0.54,4.0,0.29600000000000004,2.2,0.003,0.145,0.293,6.2,2.2,-1.5,0.8,1.9,5.13,1,0,0,0.0,1,0,The Answer
2007,32,82,41.8,8.7,19.0,0.45799999999999996,1.2,3.4,0.345,7.5,15.6,0.48200000000000004,0.488,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4,20.9,0.5670000000000001,3.8,0.27399999999999997,2.2,0.002,0.114,0.267,11.6,3.5,-1.9,1.6,3.1,8.370000000000001,1,0,0,0.0,1,0,The Answer
2008,33,57,36.7,6.1,14.6,0.41700000000000004,0.5,1.7,0.28300000000000003,5.6,12.9,0.435,0.434,4.8,6.1,0.7809999999999999,0.5,2.5,3.0,5.0,1.5,0.1,2.6,1.5,17.5,15.8,0.504,4.9,0.231,2.3,0.002,0.129,0.257,2.9,0.0,-0.7,-0.7,0.7,1.89,1,0,0,0.0,0,0,The Answer
1997,19,79,26.0,4.9,11.6,0.428,0.9,2.8,0.341,4.0,8.8,0.456,0.469,4.6,5.8,0.794,1.0,2.1,3.1,2.5,0.9,0.5,2.0,2.3,15.4,18.5,0.5479999999999999,6.7,0.16,1.8,0.013000000000000001,0.124,0.272,6.3,1.9,-1.7,0.2,1.1,2.9700000000000006,1,0,0,0.0,1,0,Black Mamba
1998,20,50,37.9,7.2,15.6,0.465,0.5,2.0,0.267,6.7,13.6,0.494,0.482,4.9,5.8,0.8390000000000001,1.1,4.2,5.3,3.8,1.4,1.0,3.1,3.1,19.9,18.9,0.5489999999999999,8.1,0.175,2.0,0.019,0.147,0.253,5.2,2.0,0.3,2.3,2.1,5.670000000000001,0,0,0,0.0,1,0,Black Mamba
1999,21,66,38.2,8.4,17.9,0.468,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,21.7,0.546,8.8,0.22399999999999998,2.2,0.017,0.11800000000000001,0.268,10.6,3.6,1.7,5.3,4.7,12.69,1,0,12,0.002,1,1,Black Mamba
2000,22,68,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,24.5,0.552,8.1,0.23,2.1,0.011000000000000001,0.111,0.318,11.3,5.3,-1.0,4.2,4.4,11.880000000000004,1,0,9,0.009000000000000001,1,1,Black Mamba
2001,23,80,38.3,9.4,20.0,0.469,0.4,1.7,0.25,9.0,18.3,0.489,0.479,6.1,7.4,0.8290000000000001,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,23.2,0.544,7.9,0.259,2.0,0.008,0.107,0.304,12.7,4.4,0.1,4.4,5.0,13.5,1,0,5,0.078,1,1,Black Mamba
2002,24,82,41.5,10.6,23.5,0.451,1.5,4.0,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,26.2,0.55,9.3,0.272,2.8,0.013999999999999999,0.114,0.32899999999999996,14.9,6.1,0.3,6.4,7.1,19.17,1,0,3,0.417,1,0,Black Mamba
2003,25,65,37.6,7.9,18.1,0.438,1.1,3.3,0.327,6.8,14.8,0.463,0.468,7.0,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24.0,23.7,0.551,8.3,0.244,2.4,0.008,0.10800000000000001,0.29100000000000004,10.7,5.5,0.2,5.7,4.7,12.69,1,0,5,0.172,1,0,Black Mamba
2004,26,66,40.7,8.7,20.1,0.433,2.0,5.9,0.339,6.7,14.2,0.472,0.482,8.2,10.1,0.816,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,23.3,0.563,8.2,0.285,1.7,0.013999999999999999,0.14300000000000002,0.317,8.1,5.6,-1.0,4.6,4.5,12.15,1,0,0,0.0,0,0,Black Mamba
2005,27,80,41.0,12.2,27.2,0.45,2.3,6.5,0.34700000000000003,10.0,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,28.0,0.5589999999999999,7.6,0.24100000000000002,2.4,0.006999999999999999,0.09,0.387,15.3,7.3,-1.5,5.8,6.5,17.55,1,0,4,0.386,1,0,Black Mamba
2006,28,77,40.8,10.6,22.8,0.463,1.8,5.2,0.344,8.8,17.6,0.4970000000000001,0.502,8.7,10.0,0.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,26.1,0.58,8.2,0.255,1.8,0.009000000000000001,0.109,0.336,13.0,6.1,-1.4,4.7,5.3,14.31,1,0,3,0.404,1,0,Black Mamba
2007,29,82,38.9,9.5,20.6,0.459,1.8,5.1,0.361,7.6,15.5,0.49,0.503,7.6,9.0,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,24.2,0.5760000000000001,9.0,0.239,2.4,0.009000000000000001,0.113,0.314,13.8,5.1,0.3,5.4,6.0,16.200000000000006,1,1,1,0.873,1,0,Black Mamba
2008,30,82,36.1,9.8,20.9,0.467,1.4,4.1,0.35100000000000003,8.3,16.8,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,24.4,0.561,8.2,0.23800000000000002,2.1,0.01,0.09699999999999999,0.322,12.7,4.8,-0.2,4.5,4.9,13.230000000000002,1,0,2,0.5770000000000001,1,1,Black Mamba
2009,31,73,38.8,9.8,21.5,0.456,1.4,4.1,0.329,8.5,17.4,0.487,0.488,6.0,7.4,0.8109999999999999,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,21.9,0.545,7.7,0.23800000000000002,2.1,0.005,0.114,0.32299999999999995,9.4,3.6,-0.1,3.6,4.0,10.8,1,0,3,0.487,1,1,Black Mamba
2010,32,82,33.9,9.0,20.0,0.451,1.4,4.3,0.32299999999999995,7.6,15.6,0.487,0.487,5.9,7.1,0.828,1.0,4.1,5.1,4.7,1.2,0.1,3.0,2.1,25.3,23.9,0.5479999999999999,8.5,0.267,1.9,0.003,0.114,0.35100000000000003,10.3,4.7,-0.9,3.8,4.1,11.07,1,0,4,0.354,1,0,Black Mamba
2011,33,58,38.5,9.9,23.0,0.43,1.5,4.9,0.303,8.4,18.1,0.464,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,21.9,0.527,7.8,0.237,1.6,0.006,0.11699999999999999,0.35700000000000004,6.2,3.6,-1.4,2.3,2.4,6.48,1,0,4,0.29100000000000004,1,0,Black Mamba
2012,34,78,38.6,9.5,20.4,0.463,1.7,5.2,0.324,7.8,15.2,0.51,0.504,6.7,8.0,0.8390000000000001,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,23.0,0.57,7.9,0.297,1.8,0.006,0.133,0.319,10.9,5.2,-0.5,4.7,5.1,13.77,1,0,5,0.152,0,0,Black Mamba
1997,21,82,39.1,8.6,15.7,0.5489999999999999,0.0,0.1,0.0,8.6,15.6,0.5529999999999999,0.5489999999999999,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,22.6,0.5770000000000001,17.6,0.13699999999999998,0.9,0.045,0.157,0.26,12.8,1.8,3.7,5.5,6.0,16.200000000000006,1,0,5,0.128,1,0,The Big Fundamental
1998,22,50,39.3,8.4,16.9,0.495,0.0,0.1,0.14300000000000002,8.3,16.8,0.498,0.495,4.9,7.2,0.69,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7,23.2,0.541,16.3,0.121,1.2,0.044000000000000004,0.127,0.272,8.7,1.5,3.4,4.9,3.4,9.18,0,0,3,0.627,1,1,The Big Fundamental
1999,23,74,38.9,8.5,17.3,0.49,0.0,0.1,0.091,8.5,17.2,0.494,0.491,6.2,8.1,0.7609999999999999,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,24.8,0.555,18.1,0.155,1.2,0.04,0.135,0.287,13.0,2.6,3.5,6.1,5.9,15.93,1,0,5,0.205,0,0,The Big Fundamental
2000,24,82,38.7,8.6,17.1,0.499,0.1,0.3,0.259,8.5,16.8,0.504,0.502,5.0,8.1,0.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,23.8,0.536,17.8,0.153,1.2,0.042,0.125,0.287,13.2,1.8,3.6,5.4,5.9,15.93,1,0,2,0.569,1,0,The Big Fundamental
2001,25,82,40.6,9.3,18.3,0.508,0.0,0.1,0.1,9.3,18.2,0.511,0.508,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,27.0,0.5760000000000001,18.0,0.183,1.0,0.043,0.127,0.29,17.8,3.9,3.8,7.6,8.1,21.87,1,1,1,0.757,1,0,The Big Fundamental
2002,26,81,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,26.9,0.564,19.0,0.195,0.9,0.052000000000000005,0.129,0.28,16.5,3.3,4.2,7.4,7.6,20.52,1,1,1,0.8079999999999999,1,1,The Big Fundamental
2003,27,69,36.6,8.6,17.1,0.501,0.0,0.2,0.16699999999999998,8.6,16.9,0.505,0.502,5.1,8.5,0.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,27.1,0.534,19.0,0.174,1.3,0.053,0.113,0.297,13.1,2.4,4.9,7.3,5.9,15.93,1,0,2,0.5820000000000001,1,0,The Big Fundamental
2004,28,66,33.4,7.8,15.8,0.496,0.0,0.1,0.333,7.8,15.7,0.498,0.498,4.6,6.9,0.67,3.1,8.0,11.1,2.7,0.7,2.6,1.9,2.2,20.3,27.0,0.54,19.4,0.161,1.1,0.057,0.09300000000000001,0.289,11.2,1.9,4.5,6.4,4.7,12.69,1,0,4,0.258,1,1,The Big Fundamental
2005,29,80,34.8,7.2,14.8,0.484,0.0,0.1,0.4,7.2,14.8,0.485,0.485,4.2,6.7,0.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6,23.1,0.523,18.7,0.165,1.4,0.042,0.122,0.27699999999999997,10.8,0.2,4.3,4.6,4.6,12.42,1,0,8,0.026,1,0,The Big Fundamental
2006,30,80,34.1,7.7,14.1,0.546,0.0,0.1,0.111,7.7,14.0,0.55,0.547,4.5,7.1,0.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0,26.1,0.579,18.8,0.188,1.3,0.051,0.14,0.27899999999999997,13.0,2.0,5.1,7.1,6.3,17.01,1,0,4,0.222,1,1,The Big Fundamental
2007,31,78,34.0,7.5,15.1,0.4970000000000001,0.0,0.1,0.0,7.5,15.1,0.498,0.4970000000000001,4.3,5.9,0.73,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,24.4,0.546,19.6,0.157,1.1,0.043,0.114,0.282,11.1,0.7,4.1,4.7,4.5,12.15,1,0,7,0.02,1,0,The Big Fundamental
2008,32,75,33.7,7.4,14.8,0.504,0.0,0.0,0.0,7.4,14.7,0.505,0.504,4.5,6.4,0.6920000000000001,2.7,8.0,10.7,3.5,0.5,1.7,2.2,2.3,19.3,24.4,0.5489999999999999,18.9,0.193,0.8,0.037000000000000005,0.111,0.285,10.1,1.1,3.5,4.6,4.2,11.340000000000002,1,0,11,0.002,1,0,The Big Fundamental
2009,33,78,31.3,7.2,13.9,0.518,0.0,0.1,0.182,7.2,13.7,0.522,0.519,3.5,4.8,0.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,24.7,0.56,18.9,0.17800000000000002,1.0,0.035,0.10099999999999999,0.26,10.9,2.4,3.2,5.6,4.7,12.69,1,0,0,0.0,1,0,The Big Fundamental
2010,34,76,28.4,5.5,11.0,0.5,0.0,0.1,0.0,5.5,11.0,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,21.9,0.537,18.3,0.157,1.2,0.048,0.114,0.22899999999999998,7.7,-0.1,3.9,3.8,3.2,8.64,1,0,0,0.0,1,0,The Big Fundamental
2011,35,58,28.2,6.2,12.6,0.4920000000000001,0.0,0.1,0.0,6.2,12.6,0.495,0.4920000000000001,3.0,4.3,0.695,1.9,7.1,9.0,2.3,0.7,1.5,1.7,1.7,15.4,22.5,0.531,18.3,0.135,1.2,0.039,0.10300000000000001,0.262,5.9,-0.2,2.6,2.4,1.8,4.86,0,0,14,0.002,1,0,The Big Fundamental
2012,36,69,30.1,7.1,14.1,0.502,0.0,0.1,0.28600000000000003,7.1,14.0,0.504,0.503,3.6,4.3,0.8170000000000001,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,24.4,0.5539999999999999,19.1,0.155,1.2,0.064,0.11699999999999999,0.278,8.3,-0.5,4.6,4.1,3.2,8.64,1,0,7,0.052000000000000005,1,0,The Big Fundamental
2013,37,74,29.2,6.0,12.2,0.49,0.0,0.1,0.0,6.0,12.2,0.493,0.49,3.1,4.3,0.731,2.1,7.6,9.7,3.0,0.6,1.9,2.1,1.8,15.1,21.3,0.535,18.8,0.16,1.0,0.046,0.132,0.252,7.4,-0.9,4.0,3.2,2.8,7.56,0,0,12,0.017,1,1,The Big Fundamental
2014,38,77,28.9,5.4,10.6,0.512,0.0,0.1,0.28600000000000003,5.4,10.5,0.514,0.513,3.0,4.0,0.74,2.2,6.9,9.1,3.0,0.8,2.0,1.7,2.1,13.9,22.6,0.56,17.9,0.168,1.4,0.051,0.121,0.222,9.6,0.8,4.7,5.5,4.2,11.340000000000002,1,0,10,0.001,1,0,The Big Fundamental
2015,39,61,25.2,3.5,7.2,0.488,0.0,0.0,0.0,3.5,7.2,0.49,0.488,1.5,2.1,0.7020000000000001,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6,16.9,0.523,16.6,0.153,1.6,0.039,0.153,0.17600000000000002,5.2,-0.8,5.0,4.1,2.4,6.48,0,0,0,0.0,1,0,The Big Fundamental
1999,21,82,35.8,6.3,13.6,0.461,1.4,3.7,0.379,4.9,9.9,0.491,0.513,3.5,4.2,0.83,1.2,5.2,6.5,2.5,0.8,0.8,1.7,3.1,17.5,17.5,0.564,9.7,0.109,1.1,0.016,0.1,0.212,8.1,2.3,-0.6,1.7,2.7,7.290000000000001,0,0,0,0.0,0,0,Dirk
2000,22,82,38.1,7.2,15.2,0.474,1.8,4.8,0.387,5.4,10.5,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8,22.8,0.601,13.5,0.094,1.3,0.023,0.095,0.23800000000000002,14.6,4.3,0.5,4.7,5.3,14.31,0,0,0,0.0,1,0,Dirk
2001,23,76,38.0,7.9,16.6,0.47700000000000004,1.8,4.6,0.397,6.1,11.9,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,24.1,0.599,14.5,0.10800000000000001,1.5,0.019,0.08900000000000001,0.255,13.4,4.6,0.1,4.7,4.8,12.96,1,0,8,0.025,1,0,Dirk
2002,24,80,39.0,8.6,18.6,0.46299999999999997,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6.0,6.9,0.8809999999999999,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,25.6,0.581,14.0,0.133,1.8,0.02,0.081,0.27399999999999997,16.1,4.6,1.0,5.7,6.1,16.47,1,0,7,0.036000000000000004,1,0,Dirk
2003,25,77,37.9,7.9,17.0,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,22.5,0.561,12.5,0.113,1.6,0.026000000000000002,0.083,0.245,11.5,3.5,0.0,3.4,4.0,10.8,1,0,10,0.003,1,0,Dirk
2004,26,78,38.7,8.5,18.5,0.45899999999999996,1.2,2.9,0.39899999999999997,7.3,15.6,0.47,0.49,7.9,9.1,0.8690000000000001,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,26.1,0.578,14.0,0.14300000000000002,1.7,0.028999999999999998,0.091,0.287,15.6,4.0,1.7,5.7,5.9,15.93,1,0,3,0.275,1,0,Dirk
2005,27,81,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16.0,0.496,0.515,6.7,7.4,0.9009999999999999,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,28.1,0.589,14.2,0.147,1.0,0.021,0.079,0.3,17.7,5.8,-0.1,5.7,6.0,16.200000000000006,1,0,3,0.435,1,0,Dirk
2006,28,78,36.2,8.6,17.2,0.502,0.9,2.2,0.41600000000000004,7.7,15.0,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,27.6,0.605,14.8,0.17800000000000002,1.0,0.017,0.095,0.289,16.3,5.4,1.3,6.7,6.2,16.740000000000002,1,1,1,0.882,1,0,Dirk
2007,29,77,36.0,8.2,17.1,0.479,1.0,2.9,0.359,7.2,14.2,0.504,0.51,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,24.6,0.585,13.8,0.17800000000000002,1.0,0.019,0.09300000000000001,0.28800000000000003,12.9,4.2,0.9,5.2,5.0,13.5,1,0,11,0.004,1,0,Dirk
2008,30,81,37.7,9.6,20.0,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,23.1,0.564,12.8,0.121,1.0,0.015,0.078,0.303,10.9,1.9,-0.7,1.2,2.4,6.48,1,0,10,0.002,1,0,Dirk
2009,31,81,37.5,8.9,18.5,0.48100000000000004,0.6,1.5,0.42100000000000004,8.3,17.0,0.48700000000000004,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,22.9,0.578,11.7,0.13,1.2,0.02,0.078,0.28800000000000003,12.3,2.3,0.3,2.6,3.5,9.45,1,0,7,0.045,1,0,Dirk
2010,32,73,34.3,8.4,16.2,0.517,0.9,2.3,0.39299999999999996,7.5,13.8,0.5379999999999999,0.545,5.4,6.1,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,23.0,23.4,0.612,12.0,0.142,0.8,0.013999999999999999,0.091,0.282,11.1,3.2,0.6,3.8,3.7,9.990000000000002,1,0,6,0.09300000000000001,1,1,Dirk
